sample	metagenome	unclassified	reads_total	bacteria	archaea	eukaryotes	viruses	pro_all	pro_HL	pro_HLI	pro_HLII	pro_HLIII_HLIV	pro_HLVI	pro_LL	pro_LLI	pro_LLII_LLIII	pro_LLII	pro_LLIII	pro_LLIV	pro_LLVII	pro_LLVIIa	pro_LLVIIb	pro_LLVIIc	pro_LLVIId	pro_LLVIIe	pro_LLVIIf	pro_LL_MIT1223	pel_all	pel_Ia	pel_Ia_BALTIC	pel_Ia_HIMB5	pel_Ia_1	pel_Ia_3	pel_Ia_3a	pel_Ia_3b	pel_Ib	pel_Ib_1	pel_Ib_2	pel_Ib_3	pel_Ic	pel_IIa	pel_IIa_1	pel_IIa_2	pel_IIb	pel_IIIa	pel_IIIb	pel_IV	pel_V	pel_Va	pel_Vb
S0171	simons	9687296	15764204	4968715	819567	209992	21188	620048	18541	2938	9408	1559	2603	595902	119117	102323	82798	16588	66662	279319	112094	46198	43409	24954	15898	3164	6368	902982	182785	3886	3722	11523	154403	72881	72870	258452	113470	52744	31746	44781	145018	82375	58520	126196	5776	1577	6043	50385	3842	46471
S0172	simons	9888871	17284498	6098209	1159298	53654	13735	12545	4537	865	2720	255	518	7898	1499	990	715	234	2597	2512	844	364	593	218	160	50	98	844000	134808	3526	3151	10501	110496	50424	54150	193187	79096	40025	19784	95791	96471	55420	38113	168329	5806	1922	3625	57612	3877	53628
S0173	simons	8681422	15705839	5295751	1581551	27707	2318	7128	4239	856	2601	174	144	2790	676	459	368	82	616	930	277	116	239	88	103	7	55	745485	67152	3084	1941	11081	47467	21802	23849	83410	25039	11028	8952	273613	31768	19994	10950	185929	5272	2220	2156	40911	2887	37966
S0174	simons	10242737	20626059	7767226	2392521	36113	4330	18400	13960	1672	9033	407	267	4178	1122	651	512	119	949	1275	419	141	346	107	111	13	88	1003448	114065	4985	3172	19141	80388	36177	40615	143927	46286	18443	15528	318430	44390	28684	14632	234104	7162	2907	4168	58110	4134	53865
S0175	simons	13820432	30880423	15783721	602255	144702	367012	4766094	4669024	113038	3484420	60750	43687	30320	8652	4927	3563	1172	6086	6941	1362	883	2744	659	530	95	590	4216227	1511731	8014	10200	18790	1406473	805999	524836	1058685	587262	33352	351506	9339	640708	584442	49349	15956	41493	2526	197430	487965	193083	294561
S0177	simons	20528037	34417599	12889752	302075	254737	318443	2725961	2661507	1870984	329547	26257	15254	24998	7422	3926	2855	955	5793	5043	872	596	2088	491	454	50	469	3671426	1531918	11999	11624	26188	1401607	642683	672693	825494	487976	22768	253180	8327	342223	317182	21520	14506	19165	2132	203643	498952	206401	292161
S0178	simons	10198617	19508800	7591291	1405314	214027	25662	198476	7752	2320	4183	344	359	189325	175212	1298	961	243	5351	2960	947	467	609	364	193	29	197	1588845	413356	8294	7279	28012	348119	141095	187663	428990	190165	81580	44348	81182	229646	176441	49319	211062	8624	2963	10629	74042	5713	68223
S0179	simons	8038421	19669496	11088254	201064	119611	144250	2183467	2139085	188850	1496216	10021	12560	14593	3958	2691	2032	572	2830	3439	695	428	1391	311	293	38	279	3904044	1654762	10059	10720	20453	1537230	741925	710972	950941	593920	17548	290670	6885	428354	405534	18768	10061	17866	2013	116181	491795	246306	245024
S0180	simons	12807933	23276606	8373498	1847007	112924	33521	72577	9181	1893	5697	395	513	62889	29755	5466	4527	738	12114	13514	5471	2072	2289	1248	794	139	372	1639369	354541	8218	6854	28673	292283	116022	160626	394329	169685	68789	39308	175295	173799	129158	41537	271057	9278	3386	9663	110028	7033	102816
S0181	simons	9015820	20127192	10408348	235184	131374	246697	3285021	3218611	201254	2305649	20141	21661	19822	5296	3233	2304	803	4070	4759	932	601	1982	464	359	57	385	3015547	1171156	7519	8027	15277	1085392	571813	453171	704606	401521	14909	248816	5760	393994	367321	22654	9432	14223	1616	72037	472068	198341	273352
