sample	metagenome	unclassified	reads_total	bacteria	archaea	eukaryotes	viruses	pro_all	pro_HL	pro_HLI	pro_HLII	pro_HLIII_HLIV	pro_HLVI	pro_LL	pro_LLI	pro_LLII_LLIII	pro_LLII	pro_LLIII	pro_LLIV	pro_LLVII	pro_LLVIIa	pro_LLVIIb	pro_LLVIIc	pro_LLVIId	pro_LLVIIe	pro_LLVIIf	pro_LL_MIT1223	pel_all	pel_Ia	pel_Ia_BALTIC	pel_Ia_HIMB5	pel_Ia_1	pel_Ia_3	pel_Ia_3a	pel_Ia_3b	pel_Ib	pel_Ib_1	pel_Ib_2	pel_Ib_3	pel_Ic	pel_IIa	pel_IIa_1	pel_IIa_2	pel_IIb	pel_IIIa	pel_IIIb	pel_IV	pel_V	pel_Va	pel_Vb
S0443	simons	6945811	15438549	7664192	325642	67094	327731	1682203	1341078	834071	266372	26618	17365	321009	294519	4031	2619	1184	8306	5227	1029	767	1728	555	527	59	920	1844866	664579	6254	6424	14262	605689	310399	261190	465992	272267	19776	133957	7592	299358	255239	40488	21748	12685	1284	107897	154857	44823	109938
S0444	simons	6956085	16387026	8390298	350905	60191	497462	2784645	2591422	924585	1145853	43863	29932	157446	129352	4799	3224	1329	11212	6810	1189	838	2892	621	608	64	678	1929562	684569	5961	6236	13955	626003	300559	290796	547475	352968	21972	132383	7520	274203	232364	38657	21778	10043	1281	116935	154467	49514	104849
S0445	simons	7195626	15987750	7785146	325842	116293	444636	2448270	2276701	805132	1009846	39412	27199	141073	116095	4208	2874	1136	9770	6273	978	735	2914	510	542	45	579	1782665	633877	5450	5534	12841	578423	274874	269979	506759	327032	20314	122264	6663	251711	214428	34235	19001	9420	1170	110736	136734	44480	92187
S0446	simons	6303498	14296593	7178048	282495	54544	374733	2436865	2244692	916169	888700	29905	25039	160903	138049	3856	2682	1000	8278	5508	1042	637	2138	521	560	64	578	1632388	570862	5028	5310	11281	521563	249726	242186	455683	291370	17380	113412	6172	237116	200771	33482	16564	9484	1073	103809	138135	44097	93956
S0447	simons	7161551	16832726	7339535	1199256	954509	47305	11650	7207	1141	4945	544	227	4337	1007	582	477	94	1751	878	217	123	314	62	60	13	59	1045056	621691	4222	4876	17051	555987	121217	395316	67919	29450	8201	20584	5465	133690	127949	4348	12220	3454	593	9254	112638	50274	62172
S0448	simons	10270308	19460828	6076879	1359563	1510484	101923	15960	10698	2054	6973	637	323	5031	1233	654	528	112	1985	976	196	161	322	110	84	11	54	964738	558265	3489	4258	14965	499915	110992	353228	74526	31973	8007	25681	3032	156908	150373	4929	10690	3484	510	10721	78892	36697	42045
S0449	simons	8327073	14046893	3899296	661094	1033422	51560	10407	7293	1615	4596	333	219	2975	728	395	303	77	1148	591	103	108	190	76	48	4	25	763490	474626	2858	3404	10409	431170	90431	312836	60854	28223	6933	18655	2199	92324	87935	3498	6569	2465	419	9314	65516	29051	36366
S0450	simons	6045930	9878508	2626001	384403	744326	31803	7198	5025	1161	3184	201	116	2081	515	288	222	55	803	394	74	55	133	52	29	4	24	544849	341294	2002	2327	7199	311749	63969	228187	43623	20475	5197	12942	1587	65338	62297	2445	4564	1683	303	6377	46305	20121	26122
S0451	simons	9502205	16977720	5055042	736792	1540997	53741	14139	10238	2677	6086	449	201	3690	843	502	382	109	1343	823	155	135	270	102	61	8	64	1135616	681362	4121	4847	13755	620807	147526	432370	98961	43622	11585	32043	3630	160355	152740	6061	7751	3296	621	14061	91038	40258	50654
S0452	simons	11484798	19735375	5406403	881720	1788181	70817	16170	11652	3166	6822	500	260	4282	967	552	437	100	1699	866	159	137	294	109	83	7	66	1100389	676205	3826	4577	13080	617390	136434	440475	97611	45285	11307	29346	3498	128211	121527	5454	8493	3217	629	15537	93995	41305	52563
S0453	simons	15766695	28693333	8816461	1229436	2676408	53379	40082	18314	2472	12681	384	314	20896	12429	1045	767	238	3630	2794	453	581	795	471	191	64	109	1777796	943990	5701	6716	13714	863218	218196	584272	256396	122060	39118	55323	11406	210887	193612	14639	24567	4890	1115	28231	157628	51909	105408
S0454	simons	13105529	24008371	8702894	1052283	962069	60083	42224	22513	3531	15418	536	413	19177	12432	1009	808	178	3158	1904	339	321	552	335	167	40	123	2231059	1202603	7409	8680	17831	1106229	285232	748656	323025	154490	50635	69155	14096	267420	246251	18076	31250	6192	1444	33891	193707	61790	131602
S0455	simons	12263062	22026901	6557751	973029	2074926	41878	28858	12979	1846	8888	293	262	15259	8932	739	536	183	2696	2101	336	438	595	376	146	37	96	1253288	654897	4076	4704	9571	598491	152589	402744	183041	87085	28200	38899	8574	148753	136505	10306	18180	3787	802	21218	113269	36874	76197
S0456	simons	7581885	14807212	5341528	878986	884146	30233	17188	7602	1095	5453	274	183	9343	5977	511	401	100	1510	1046	223	211	271	147	90	13	61	1289796	629227	4639	5248	11130	575423	177684	360899	224854	103906	35892	48651	11072	177809	162490	13194	23123	4125	946	20638	106190	27073	78946
S0457	simons	9984122	25080152	12171034	1670242	974008	91192	32013	16706	2178	12412	598	474	14983	9046	996	804	165	2900	1566	324	288	440	198	154	24	112	3255290	1543863	11803	13245	28386	1404947	453636	857505	591211	266343	95838	128204	33039	463346	421351	36432	70723	10808	2603	48792	240732	62110	178143
S0458	simons	12601409	30164035	14865007	1681154	736049	98285	37080	20492	2678	15427	814	613	16272	8503	1487	1207	240	3710	2068	466	358	591	267	170	29	150	4462293	2044853	16189	18657	41524	1861274	618198	1124589	833893	373022	142945	172517	58650	618672	559119	52343	122271	15826	3850	63507	371964	85897	285525
S0459	simons	14078324	26997286	9805190	1022175	1814669	124228	353188	306262	240290	17911	1544	1753	41082	29700	1751	1278	422	4345	3437	619	643	1068	550	232	42	247	2535439	1540705	20283	13092	156295	1242445	421619	740120	269528	133921	31147	58639	26325	229063	213963	12545	52438	9543	2452	118261	108374	32579	75582
S0460	simons	10739533	18988179	6378395	613682	1081449	83015	236780	207804	165376	12372	1157	1263	25536	18150	1176	837	298	2899	2176	382	368	669	360	160	40	200	1698363	1042712	13634	8768	107898	845381	286551	508246	181485	90662	20748	39903	17619	149204	139481	8220	35609	6381	1623	78557	77936	23364	54429
S0461	simons	10494001	17290164	5418094	405508	829889	71909	205916	177136	141179	10562	980	986	25819	18948	1085	845	202	2685	2026	340	387	621	292	165	35	153	1351927	812852	11026	6720	91961	650696	191569	421885	147551	79775	16219	28002	14152	101599	94363	6234	28824	5248	1397	85785	72791	20887	51792
S0462	simons	10307942	16950830	5359487	396788	754252	64623	209243	181320	145529	10763	914	926	25037	18744	1128	901	190	2390	1766	318	346	510	285	134	21	147	1394395	849466	11614	7110	97068	680109	198345	443157	149796	80999	16532	28264	14465	103621	96261	6360	29207	5466	1328	85991	73247	21130	52002
S0463	simons	1157031	2304570	926574	162266	32796	11275	8383	6521	4559	902	125	93	1769	1007	164	139	20	382	159	33	24	53	10	21	5	15	258674	138844	2163	1381	18257	107538	36533	64541	30854	14018	4044	6025	6975	25786	23685	1810	13348	1314	348	9863	13635	2696	10904
S0464	simons	1148114	2604386	1275375	120009	30592	14683	9902	7658	5429	1101	113	72	2089	1048	263	221	34	468	229	58	42	60	26	21	5	25	372011	222764	3525	1845	37376	164309	43706	111238	31557	15244	3851	6360	6243	32056	29723	2027	11832	1951	496	22878	18677	4627	14024
S0465	simons	1962105	2867349	754802	62077	69671	8381	28241	24355	19470	1491	130	133	3501	2579	174	139	26	382	228	47	46	60	32	13	2	19	193049	118384	1672	940	15075	92616	24060	63212	18464	10011	1889	3640	1959	13213	12313	767	3906	833	221	14146	10466	2735	7719
S0466	simons	1995415	2898029	750148	62490	72274	7497	28368	24364	19275	1537	107	138	3611	2763	159	125	27	318	256	39	48	84	46	18	1	9	186400	113782	1624	904	14640	88750	23177	60271	17639	9563	1858	3440	1886	12460	11631	714	3812	780	237	14067	10467	2658	7795
S0467	simons	2308571	3272525	785618	78222	80060	8169	21236	17495	13673	1245	133	111	3443	2588	159	128	24	333	235	50	32	73	42	17	2	22	184073	109800	1555	842	13882	85888	22731	57958	17551	9582	1859	3354	1932	13129	12184	808	3804	774	216	14868	10438	2782	7628
S0468	simons	1223462	1836541	512914	47518	39977	5364	13131	11085	8718	803	68	72	1861	1356	106	80	20	219	119	25	21	33	16	10	3	12	140349	85468	1228	650	10642	67210	17886	45268	13584	7315	1443	2647	1528	9904	9230	572	2959	583	155	10128	7443	1881	5545
S0469	simons	2163885	3380608	1020460	90036	80536	11030	33757	28744	22692	1923	140	176	4534	3379	213	183	22	484	304	67	46	86	43	26	3	28	247345	149833	2153	1230	18912	117095	30570	79623	23535	12878	2475	4497	2501	17198	16013	999	4996	1057	291	18656	13861	3543	10300
S0470	simons	3166987	6435837	2835390	250919	116182	28628	53270	45166	34919	3680	366	333	7281	4892	492	367	100	1002	607	95	111	200	71	59	5	60	823488	498913	7198	4066	62717	390653	103735	263873	80399	43745	8640	14806	9112	59117	54893	3618	18090	3347	925	56928	45129	11531	33511
S0471	simons	2151112	3443807	1051174	89452	125664	11088	59335	49894	39643	2847	259	267	8577	7004	260	184	61	599	391	85	61	114	56	30	5	37	277986	159598	2422	1431	20160	124386	36684	80090	29938	15318	3520	5889	3837	22100	20556	1310	7906	1275	331	18979	16056	3492	12535
S0472	simons	17154485	27344629	8355581	724773	885988	100533	422985	356465	281063	21971	1933	2093	60260	48329	2008	1537	380	4904	2986	618	490	887	428	249	43	263	2320754	1336371	19727	11704	168752	1040826	307113	669268	252400	129912	28989	50135	31120	183964	170618	11361	65176	10778	2610	156837	128902	28627	100007
S0473	simons	14739427	22826075	6575608	658197	678340	75060	287031	231067	181626	15195	1548	1424	51791	42992	1439	1091	278	3499	2240	430	404	673	310	195	26	197	1906720	1095065	16436	9521	138284	853971	254382	547578	210652	108016	24830	40895	26878	153587	142225	9710	56271	8712	2258	128043	100673	20577	79907
S0474	simons	64906107	99447786	28881736	2862346	1973809	401524	627315	496802	372434	49720	6092	4612	121627	87738	5678	4282	1164	15612	8368	1609	1415	2531	1142	740	124	750	9248480	5299114	79101	47425	677253	4125825	1234210	2641072	1028995	523840	121043	201120	133789	763227	708173	47028	276001	42613	10830	611599	478229	105809	371487
S0475	simons	76057185	130369491	46510222	4396792	2131311	616855	936312	738234	551926	74704	8896	6906	184676	135509	8633	6669	1590	23186	11338	2367	1877	3365	1349	1156	149	1121	14417338	8211280	123834	73330	1038558	6393085	1904347	4095454	1594328	812861	188899	310272	209736	1166761	1081448	72695	429948	66437	16644	957326	810324	176332	632528
S0476	simons	25380205	47136893	18530149	1821191	926293	212858	469113	378444	291085	31230	3282	2920	84135	65018	3412	2624	690	8456	4545	947	751	1318	584	447	53	453	5495550	3118819	46877	27985	395444	2427291	724946	1552580	609350	311226	72046	117158	80013	446742	413882	28271	165048	25376	6282	360532	320917	68785	251549
S0477	simons	7443613	10746769	2821826	142042	287403	19628	45640	37775	29515	3022	201	241	7128	3764	656	545	101	1296	1043	210	156	317	164	78	14	71	744169	486957	7513	3640	85094	356730	78317	258836	43768	21849	5014	9153	6744	52034	48540	2971	13308	3880	1040	59598	34829	10010	24760
S0478	simons	14215256	18445392	3407173	218363	520779	35033	45114	34095	25272	3273	248	272	10030	4565	870	706	141	2227	1699	277	301	537	268	119	27	106	612754	384072	5879	2790	68396	276559	59235	200332	35388	17734	3990	7555	5431	43020	40199	2323	11664	3646	810	58995	31159	9200	21879
S0479	simons	13367797	16693225	2587383	176992	506569	16037	32265	23513	17448	2105	161	181	7925	3689	597	436	140	1604	1487	229	296	465	224	106	19	62	426858	265958	4099	2056	46987	191231	41003	138150	24608	12505	2752	5206	4027	29222	27267	1633	7781	2347	553	42068	22808	6815	15938
S0480	simons	10367015	13861333	2813871	207296	410268	21867	37523	28402	21129	2528	164	247	8269	4167	686	524	132	1615	1264	229	217	374	192	108	19	77	543419	338861	5109	2551	60308	243527	53629	174702	32148	15964	3781	6686	5241	38737	36205	2134	10351	3144	732	50339	28501	7884	20543
S0481	simons	7882168	13567737	4860163	491269	229458	33803	27295	18968	12726	3194	257	244	7809	3453	900	754	127	1967	1125	188	179	350	173	101	22	88	1179811	722635	11462	5610	127342	519324	121749	364562	74768	36265	8823	15888	13538	93431	87224	5167	27616	6792	1583	99201	60855	16015	44699
S0482	simons	13239721	21467350	6983001	725564	347747	67536	28116	17791	10430	4442	379	344	9833	3242	1398	1192	179	2966	1738	309	259	585	230	158	22	124	1634622	1004680	16141	7756	186315	711967	160789	505600	101537	48364	11514	23434	18414	129046	120259	7351	38071	9580	2252	139962	81915	22549	59177
S0483	simons	11698514	21848406	7770310	830449	1338891	78630	38306	18912	1927	13483	355	404	18341	7655	1477	1231	223	4454	3658	555	814	996	651	233	79	103	1695193	940067	5091	5982	11433	862516	194989	603221	224680	113201	35037	42470	8743	132840	121635	9414	19290	4130	964	42677	181493	58573	122587
S0484	simons	11052552	20814395	7370726	799211	1408572	57443	39027	17953	1902	12695	288	321	19819	7593	1532	1223	271	4731	4504	606	1064	1220	858	277	122	149	1430936	790512	4421	5120	9708	725070	162928	508322	189850	95985	29451	35657	7390	110637	101535	7713	15358	3321	747	36840	158356	51906	106132
S0485	simons	9915914	20347303	7941493	880793	1421052	54871	43239	20450	2161	14467	310	311	21625	9598	1398	1093	265	4908	4304	631	1031	1129	836	247	80	141	1576820	872331	4587	5511	10564	801950	178289	564823	209009	105475	32588	39089	8189	120970	110760	8612	17179	3553	807	41105	177765	57037	120397
S0486	simons	11480984	24623864	9815311	1349147	1721420	71979	44669	20279	2202	14249	332	361	23073	10109	1709	1340	318	5186	4555	694	1078	1200	797	299	107	175	1957250	1076594	5790	6792	13393	985763	222661	687871	260587	130432	40781	48852	10582	149734	137308	10423	22016	4555	1027	48209	217061	68370	148302
S0487	simons	10116724	22260521	9153344	1269597	1485893	64083	36529	17266	1837	12337	328	354	18245	7682	1494	1221	248	4176	3715	546	757	1066	665	289	89	142	1847635	1012731	5490	6544	12679	927457	210462	646222	243368	121003	38057	46509	10107	143454	131311	10120	21123	4390	1031	44574	210635	67565	142681
S0488	simons	7873113	18949910	8594687	1241385	1019882	64730	28354	14820	1376	11022	314	292	12897	5043	1311	1122	172	3254	2540	408	563	712	419	169	56	106	1878649	1043483	5826	6863	13270	956514	222721	662173	247319	121795	39161	48119	10224	150849	138524	10392	22212	4458	977	42013	202721	64853	137511
S0489	simons	10981924	18918161	5491352	852975	1465447	32758	27364	19748	12144	4566	262	196	7082	3076	572	433	122	1674	1345	245	243	385	225	91	36	56	1162642	716721	5785	5769	26318	632257	195116	392373	97525	44723	12508	25214	7017	137679	130618	5546	13361	3099	733	18813	81475	34520	46781
S0490	simons	12420842	20439979	5566750	877349	1446643	31854	27309	19424	11776	4448	247	229	7291	3214	593	452	125	1649	1416	254	281	396	237	100	22	66	1144459	697043	5633	5622	26231	612585	190623	377233	96655	44278	12330	25047	6840	138796	131766	5497	13428	3152	753	18834	81829	34655	47018
S0491	simons	10671828	19323804	6081057	931692	1487626	44788	35876	25992	16306	5441	392	245	9179	4509	727	556	142	1977	1462	269	272	409	232	114	31	75	1260252	763857	6402	6055	30600	669106	205769	415105	110093	52127	13783	27314	7674	144532	136784	6057	15543	3603	871	26281	92272	38155	53942
S0492	simons	12690390	23688208	9830691	755072	232043	42817	135247	101377	72104	10848	2276	924	31725	24197	1658	1344	266	2982	1811	322	313	540	240	187	26	165	2954252	1642449	18942	12791	112002	1383987	432756	858717	358826	215513	33546	62333	19916	265502	247445	14975	38383	9611	2430	157586	250740	85704	164588
S0493	simons	12566304	21881469	7919441	1001807	197679	56454	102947	76445	50841	10964	2819	1066	25089	17208	1632	1305	259	3896	1509	274	268	460	208	150	34	153	2145245	1098187	13157	9108	67858	933207	291932	578684	323215	190695	34707	50839	21620	205361	188335	14513	46616	7424	1837	118762	164303	43939	120080
S0494	simons	9913872	18670957	7685696	801614	113577	51336	75210	58234	39100	9427	2176	923	16081	9230	1517	1270	194	3653	1265	287	209	311	146	167	19	126	2440632	1276710	16297	11367	90054	1082244	356121	662572	371441	212118	41878	61354	28895	244661	223902	18160	63514	8819	2423	107901	177812	42976	134574
S0495	simons	8347434	24422562	14471355	1094457	244258	106042	681131	616782	490320	35630	9904	3563	55737	43854	2244	1701	427	5149	2720	663	417	729	374	257	52	336	4723857	2568571	32054	21502	184270	2176521	734967	1313464	627262	360492	58348	124085	43800	495596	462705	28275	90529	16341	4216	229919	373040	131350	241113
S0496	simons	8173694	23845209	14125307	1060493	221852	105417	854514	766617	612437	40440	11097	4160	77148	64723	2359	1769	464	4943	2856	647	435	764	393	312	35	327	4455732	2396446	29786	19973	171299	2028004	684598	1221007	602299	347155	55062	118258	41966	463803	431990	27268	87154	15593	4118	216488	360576	127196	232839
S0497	simons	5858994	15536863	8841856	560579	107740	75883	582478	525873	424055	27679	6391	2881	49450	41301	1660	1262	317	3204	1830	443	317	461	217	181	35	238	2958864	1601636	19738	13743	116252	1354606	458570	815858	402358	230672	38046	77479	29184	302262	281326	18149	60952	10421	2738	141181	231688	77148	154165
S0498	simons	10737567	21159657	9560784	576618	116076	75126	438683	384904	307297	22588	6604	2353	48735	40768	1646	1249	319	3290	1728	438	239	474	196	201	23	210	3308686	1792071	22415	15441	130654	1518064	519456	911165	456748	259308	44763	88403	32748	340756	317109	20478	68526	11619	2962	154718	256285	83281	172590
S0499	simons	10737567	21159657	9560784	576618	116076	75126	438683	384904	307297	22588	6604	2353	48735	40768	1646	1249	319	3290	1728	438	239	474	196	201	23	210	3308686	1792071	22415	15441	130654	1518064	519456	911165	456748	259308	44763	88403	32748	340756	317109	20478	68526	11619	2962	154718	256285	83281	172590
S0500	simons	3682810	9908930	5520712	533941	58223	52462	70205	49485	35350	6242	1580	643	20005	15835	772	611	130	2031	901	185	167	273	105	83	11	106	1866730	939301	13478	9333	89070	768970	292710	430378	268768	130991	33710	55251	34245	230787	213204	15162	77070	8138	2126	74612	114545	24623	89752
S0501	simons	4217824	11369682	6721515	247239	46334	84924	1929834	1893458	50303	1441002	6805	13820	11919	3675	2093	1508	510	2423	2499	597	347	825	232	239	40	247	1912124	676889	4376	5612	9901	627333	365339	229168	544037	329996	26452	142656	5181	263226	224105	36105	8245	10401	1217	83394	208963	104492	104337
S0502	simons	3845562	9168760	4800713	357819	46771	69367	1038008	796436	35043	563923	9202	23370	228899	162133	22896	17630	4435	6196	28516	8535	5816	5278	3373	1656	356	1929	1241628	370545	3736	4136	9773	335061	158675	157045	348352	186850	37885	78633	13112	239207	169583	65657	34784	6404	1120	56644	88439	18370	70011
S0503	simons	5146013	10474095	4300567	933126	20031	21691	39830	7343	869	4206	417	1620	32147	4845	5329	4035	1115	4774	15606	5800	2593	2667	1485	1071	217	490	876987	130279	4037	3406	13383	103352	50793	47952	227340	89547	48643	20580	87661	83053	49827	31453	202394	5439	1943	3583	57078	2778	54241
S0504	simons	11972543	35303573	22372875	494572	115921	203008	7010652	6877073	194336	5186612	19368	49933	41926	15070	6738	4972	1465	6493	8788	2177	1291	2469	1064	782	132	871	6542583	2361802	15577	19643	34371	2183356	1224246	838585	1837005	1120262	105730	452481	18077	785652	638206	136713	26622	24764	3669	292392	812172	352241	459283
S0505	simons	10188355	22987865	11485022	731918	342386	125792	2052403	1048459	55044	679895	13132	95378	982877	690195	121349	95481	21226	44309	90853	26443	18269	16649	11734	5226	1112	7345	3251009	1021854	10966	12295	28322	922921	465186	407195	959858	510698	117165	197594	40329	527298	362057	156563	109795	14859	3032	95098	270425	36705	233528
S0506	simons	7831125	17252911	7788655	1400992	104970	40436	290325	22548	2436	11874	1657	4796	265391	61583	44819	35097	8284	33589	112583	43080	19466	17548	11141	6744	1341	3495	1765357	321133	7881	7140	24141	266824	130305	123264	485221	203671	102578	52533	116890	230513	141979	83990	339185	9713	3215	13538	100944	5550	95265
S0507	simons	8009509	24754858	16023966	395963	126324	99013	4903941	4815346	120502	3659263	10630	32527	25378	7643	4393	3328	919	3464	6487	1397	834	2467	736	487	75	598	4338107	1472942	8911	11739	20248	1366033	805938	487436	1262146	809654	46065	313041	9563	479479	419378	54798	13129	20916	2310	171149	672013	303233	368318
S0508	simons	10188202	18365867	6937694	755763	307540	96578	1272850	203939	11018	59999	6873	92875	1057544	411222	232697	184512	41132	86832	276988	101845	49987	45086	28757	15524	3308	13263	1661128	344621	7019	6873	21058	292933	140046	137305	508475	226728	104074	59846	71651	232857	141473	86568	240552	8660	2791	22963	97487	5745	91626
S0509	simons	14383493	25539464	8840997	2023829	139788	33457	269936	17957	2395	9015	1126	4240	249638	27187	41730	32590	7920	44281	123917	49652	20323	18904	11771	7572	1471	3214	1979879	293004	8981	7834	29203	232677	111719	110160	516286	206333	109400	47017	193959	187300	111084	72011	465118	11841	4500	11320	116779	5879	110758
S0510	simons	9041506	18992228	9324747	326394	111514	115854	2751914	2700241	61624	2048302	12578	19743	15451	4526	2656	1985	561	2642	3792	810	527	1373	433	265	55	356	2560047	874556	5275	6754	12070	811442	508980	260665	723942	437084	24049	208866	5884	325516	292201	29792	7958	15360	1476	89315	373289	178685	194358
S0511	simons	12103989	19992369	6721137	652908	298320	133565	1214147	319669	14439	139571	5706	101600	882795	586970	115183	88920	21069	51180	96549	29109	18731	16885	12680	5516	1203	6139	1591978	464758	5998	6857	16965	412219	231713	158132	469899	208470	85057	93999	24858	305870	199319	100776	67896	7549	1829	19309	115546	9048	106386
S0512	simons	13471316	22678590	7998420	814814	147057	141868	318734	100630	8297	62838	4290	9108	214906	168908	13956	9791	3636	9518	14347	4109	2729	2803	1747	915	188	1778	1513589	433772	5555	5888	15637	385102	189584	173181	450901	240507	68143	71314	20571	208690	144197	60533	50897	6593	1553	37977	179190	18548	160466
S0513	simons	8980709	17806035	8398336	185352	79822	103072	2078391	2040564	38709	1566314	11639	14386	11682	3469	1962	1493	386	2090	2759	570	360	1102	258	228	37	241	2480931	877491	4557	6097	10372	819819	516076	263717	635949	378632	16534	198341	4620	333230	311709	18510	6826	20983	1254	83771	386426	183729	202426
S0514	simons	15103067	24494461	8002769	616687	354943	305122	2373435	1323814	86340	803196	42871	127226	1021723	901032	44707	35504	7578	17332	26190	7225	4825	5750	3126	1584	301	3508	1527128	442400	6410	6628	18217	389561	198198	169953	509297	260516	76530	87010	22580	205332	136955	64697	54613	6403	1603	55030	118748	16016	102642
S0515	simons	13436797	18120433	3665130	888385	72003	4871	24136	3310	643	2015	136	336	20647	2070	2656	2057	536	5340	9614	3936	1524	1522	785	628	134	281	886324	122322	4190	3451	15023	93917	44694	45312	212572	85104	38059	18383	126697	60281	35442	23581	209732	5465	2132	3304	67381	3224	64038
S0516	simons	9537247	21068764	11001130	256609	92431	102271	3020871	2962554	57223	2234373	16883	20081	16359	4735	2903	2143	662	2584	4020	902	524	1521	380	336	43	352	3048180	955996	5339	7353	12503	886578	543126	295515	818291	474127	20774	260941	5964	421076	392214	24528	8790	20793	1613	133741	501460	193151	307973
S0517	simons	13797653	22767215	7497835	574738	220999	545017	1345996	354467	16905	133647	16758	135677	979791	850247	37930	26596	9334	32609	27433	6205	5387	6207	3591	1855	287	5093	1740303	442000	7324	7510	21241	383211	200763	160888	549969	262590	94996	89564	31775	316296	195165	114430	86628	7962	2109	34859	135391	7919	127330
S0518	simons	8588419	15353579	5495064	1122542	60161	22487	54699	7534	1019	3984	503	1723	46705	6367	7530	5939	1349	10292	20390	8203	3259	3188	1847	1288	249	551	1062848	178267	4920	4204	15978	144355	68991	68138	270564	109792	53861	28156	99657	113852	74353	37254	220993	6292	2293	4938	71246	3950	67211
S0519	simons	8772579	17848147	8542672	294405	86859	83281	2189474	2148405	45938	1635832	9218	14486	12915	3807	2213	1635	483	2339	3080	679	392	1182	311	257	36	284	2230741	704406	3896	5076	9057	654372	338114	279684	590307	325746	13769	212990	4417	375899	349727	22487	8052	19113	1249	110670	290455	81932	208357
S0520	simons	9108480	14109928	4213426	339610	134212	247450	481786	135926	6794	49861	7501	55872	342076	277722	18412	12673	4914	16106	17425	4164	3462	3763	2206	1180	197	3288	1208241	266194	5228	5422	15975	226378	111971	102152	392065	189568	74402	50089	30561	214826	130082	80091	93064	5677	1722	29415	82294	3678	78535
S0521	simons	10916733	19521511	7011760	1388432	84371	37860	121068	13634	1443	6724	812	4122	106427	13500	20393	16849	3003	21511	46155	19669	7211	6772	3971	2870	542	1310	1499146	253215	7063	6171	22964	204528	97585	96826	403789	164354	83941	40029	126284	160461	102813	54327	308472	8886	3214	7303	91693	4866	86708
S0522	simons	12016728	25783532	12890657	464328	124706	174626	3983822	3901374	90761	2914906	27221	30697	26197	8488	4327	3058	1120	4669	5777	1201	732	2198	584	482	54	493	3276722	1084783	6666	8528	14662	1002687	496866	447150	873509	468557	37108	289854	8330	538221	470818	60962	14124	21235	2112	154008	376970	143007	233675
S0523	simons	16713138	30236274	11464961	1222375	398599	293172	1332481	197868	11809	75747	9060	76138	1123319	672847	138324	107568	26141	84809	179110	61542	33915	30443	19571	9819	2072	12735	2943731	640077	13456	13142	39931	543243	271866	243599	941616	437316	188492	116807	90967	490880	298761	182036	280380	14367	4550	58642	193086	8882	183983
S0524	simons	16812104	29226649	10227987	1907385	122348	31104	95996	11528	1578	6258	650	2559	83620	6812	12198	9565	2291	20343	40197	16406	6215	6333	3688	2422	421	944	1149199	183125	5579	4658	18489	145680	68416	70311	303646	125398	59351	26988	127552	86397	54153	30426	230737	7447	2750	5560	94473	4781	89558
S0525	simons	13460854	26115622	11721950	472574	205167	151878	3498424	3405873	86772	2550336	26496	29600	44635	26750	4118	2893	1037	4667	5897	1209	843	2148	641	490	70	524	3037589	1055221	7364	9356	16810	973878	474850	444383	854627	488880	62962	219544	11441	445214	351009	87789	20521	15090	1972	131339	313067	105949	206881
S0526	simons	13472674	23456568	8234825	1019939	491942	132561	1442625	336889	17910	156962	9078	90546	1091136	590711	154385	116392	32271	72613	225271	70049	45927	39895	25728	12188	2864	10335	1744531	420828	7180	7263	20164	365926	177961	168085	529892	243386	107367	72812	47100	296354	176736	113108	149064	9017	2596	26931	124338	8353	115851
S0527	simons	10641239	18057294	5912536	1361380	53950	11403	16003	5104	1055	2793	293	774	10777	1260	1290	936	302	3519	4228	1548	694	824	382	244	44	148	1061198	138053	4766	3984	16348	106491	51782	50101	244559	95256	47065	21708	144541	85195	47739	35379	264097	6817	2625	4254	69995	3709	66200
S0528	simons	9804835	20582741	9878975	426119	210264	162973	2411839	2312577	75488	1709231	17684	23422	65365	43995	4655	3322	1155	6098	7328	1549	1168	2443	722	554	85	553	2577205	872849	6525	7983	15743	801620	366216	388519	741424	426987	49685	192984	11706	406856	325084	75985	25223	13972	1729	101844	233398	68526	164693
S0529	simons	11508407	20602594	7668716	984026	221199	133299	909147	135455	7796	69064	3723	34299	765498	294968	137956	102631	30423	71918	223042	64372	45365	42277	26018	12137	2859	10768	1715249	410816	7599	7884	22680	353810	170177	165236	553129	252777	111990	72495	49147	261269	162807	93421	156480	8683	2542	20617	121892	7877	113883
S0530	simons	14148540	26724114	10336494	1950864	119729	46891	382211	305986	10807	223539	2560	5225	71207	17071	10076	7582	2181	13990	26534	9695	4495	4643	2576	1605	331	923	2083276	376733	9133	8572	29414	311455	154120	141687	567269	236070	112986	67251	152674	243235	151948	86340	400638	12613	4228	16928	123981	11453	112365
S0531	simons	6403552	14010669	7156582	202641	105839	87983	2264295	2212576	71475	1668877	12146	18953	23741	13371	2460	1788	590	2741	3412	821	426	1171	341	318	29	326	2113385	767545	5720	6872	13068	708233	366668	303827	609014	347448	39696	165470	8240	341780	269429	67799	13239	10235	1473	74321	160905	63330	97463
